id,name_pdk,attributes,max_value,name_values
0,CO,мг/м3,5,Углерода оксид
1,NO,мг/м3,0.4,Азот оксид
2,NO2,мг/м3,0.2,Азота диоксид
3,NH3,мг/м3,0.2,Аммиак
4,SO2,мг/м3,0.5,Диоксид серы
5,H2S,мг/м3,0.008,Сероводород
6,CH2O,мг/м3,0.5,Формальдегид
7,PM10,мг/м3,0.3,Взвешенные частицы РМ10
8,PM2.5,мг/м3,0.16,Взвешенные частицы РМ2.5
16,C6H6,мг/м3,9999,Бензол
17,C7H8,мг/м3,9999,Толуол
18,C8H10,мг/м3,0.25,Этилбензол
19,C6H5CL,мг/м3,0.1,Хлорбензол
20,C8H10_O,мг/м3,9999,орто-Ксилол
21,C8H10_MP,мг/м3,9999,мета-Ксилол и пара-Ксилол (смесь)
22,C8H8,мг/м3,9999,Стирол (C8H8)
23,C6H6O,мг/м3,999,Фенол
24,PM1,мг/м3,0.5,Взвешенные вещества
25,T,oC,30,Температура воздуха
26,H,%,101,Влажность воздуха
27,P,мм.рт.ст,780,Атмосферное давление
28,V,м/с,12,Скорость ветра
29,N,град,361,Направление ветра
30,Долгота,NULL,100,""
31,Широта,NULL,30,""
